status	original_url	effective_url	file
403	https://www.eda.admin.ch/countries/usa/en/home/services/genealogy/research-switzerland/staatsarchive.html	https://www.eda.admin.ch/countries/usa/en/home/services/genealogy/research-switzerland/staatsarchive.html	references/local-databases-by-country.md:130
403	https://www.familysearch.org/search/	https://www.familysearch.org/search/	references/source-access-catalog.md:107
403	https://www.familysearch.org/search/catalog	https://www.familysearch.org/search/catalog	references/source-access-catalog.md:108
403	https://www.findmypast.com/	https://www.findmypast.com/	references/source-access-catalog.md:104
403	https://www.geneanet.org/	https://www.geneanet.org/	references/local-databases-by-country.md:101
403	https://www.gov.cy/en/service/access-to-records/	https://www.gov.cy/en/service/access-to-records/	references/local-databases-by-country.md:271
403	https://www.hathitrust.org/the-collection/data-resources/	https://www.hathitrust.org/the-collection/data-resources/	references/source-access-catalog.md:57
403	https://www.ilsos.gov/departments/archives/databases.html	https://www.ilsos.gov/departments/archives/databases.html	references/local-databases-by-country.md:342
403	https://www.irishgenealogy.ie/	https://www.irishgenealogy.ie/	references/local-databases-by-country.md:311,references/source-access-catalog.md:130
403	https://www.loc.gov/apis/additional-apis/chronicling-america-api/	https://www.loc.gov/apis/additional-apis/chronicling-america-api/	references/source-access-catalog.md:53
403	https://www.loc.gov/apis/json-and-yaml/	https://www.loc.gov/apis/json-and-yaml/	references/source-access-catalog.md:52
403	https://www.loc.gov/standards/sru/	https://www.loc.gov/standards/sru/	references/source-access-catalog.md:213
403	https://www.sos.mo.gov/mdh/	https://www.sos.mo.gov/mdh/	references/local-databases-by-country.md:341
403	https://www.wiewaswie.nl/	https://www.wiewaswie.nl/	references/local-databases-by-country.md:121
403	https://www.wiewaswie.nl/en/	https://www.wiewaswie.nl/en/	references/source-access-catalog.md:144
403	https://yadvashem.org	https://www.yadvashem.org/	references/databases-by-region.md:280
404	https://sa.dk/ao	https://www.rigsarkivet.dk/ao	references/databases-by-region.md:193
404	https://www.bcgcertification.org/ethics-standards/genealogical-proof-standard/	https://www.bcgcertification.org/ethics-standards/genealogical-proof-standard/	README.md:3
405	https://maps.nls.uk	https://maps.nls.uk/	references/uk-ireland-local-sources.md:110
405	https://maps.nls.uk/	https://maps.nls.uk/	references/local-databases-by-country.md:308,references/uk-ireland-local-sources.md:33
406	https://www.aucklandcouncil.govt.nz/en/cemeteries/find-burial-cremation.html	https://www.aucklandcouncil.govt.nz/en/cemeteries/find-burial-cremation.html	references/local-databases-by-country.md:369
503	https://arhivelenationale.ro/	https://arhivelenationale.ro/	references/local-databases-by-country.md:259
